coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
40.112_0.823,024026.93+004922.7,6155.0,40.112232,0.822979,40.112232,0.822979,0.0,0.9599,0.9599,-24.017,-24.017,8.549,1.10996,5.0,-0.875,19.6355,70.0,-0.022,6122,3.49895,4.74047,-0.940582,-0.78884,1.0,181.366,92.429,181.384
40.117_-0.935,024028.11-005605.8,6156.0,40.117149,-0.934969,40.117149,-0.934969,0.0,1.0263,1.0263,-23.448,-23.448,8.947,1.46107,1.72876,-0.303158,20.2099,64.0,0.143,6119,1.44236,2.40901,-0.580976,-0.210134,0.0,111.354,98.5904,107.467
40.157_-0.944,024037.62-005637.9,6161.0,40.156752,-0.943877,40.156754,-0.943877,0.00434670577101264,1.8315,1.8315,-25.423,-25.423,0.0,1.03076,3.0449,-0.932046,19.6817,62.0,0.604,5766,2.91202,4.553,-1.04415,-0.87137,0.0,164.242,112.269,163.842
40.158_0.189,024037.88+001118.9,6162.0,40.157835,0.188605,40.157833,0.188605,0.007528715240946742,0.4695,0.4695,-23.19,-23.19,8.043,23.1666,-10.0,-10.0,18.4963,6.0,0.037,5880,-10.0,-10.0,-10.0,-10.0,0.0,144.197,-10.0,-10.0
40.165_0.424,024039.56+002527.0,6163.0,40.164863,0.424168,40.164864,0.424168,0.003073585126505738,1.7278,1.7278,-25.685,-25.685,0.0,1.51977,5.0,-0.95,19.5229,105.0,0.081,6103,3.23978,4.68283,-1.0261,-0.844255,1.0,266.372,153.095,266.377
40.165_0.496,024039.63+002944.0,6164.0,40.165149,0.495556,40.16515,0.495556,0.0,1.3649,1.3649,-24.901,-24.901,0.0,1.39028,2.27741,-0.771418,19.6572,69.0,0.474,5954,2.08437,4.13292,-0.972393,-0.717436,0.0,162.582,144.469,161.25
40.176_0.798,024042.22+004752.0,6167.0,40.17594,0.797788,40.175941,0.797788,0.0,1.9306,1.9306,-25.456,-25.456,9.137,1.05964,5.0,-0.95,19.6668,68.0,0.144,6100,3.25143,4.68294,-1.02448,-0.859544,1.0,172.212,116.884,172.214
40.195_-0.224,024046.85-001324.9,6168.0,40.19523,-0.223588,40.195229,-0.223588,0.00434670577101264,1.1015,1.1015,-23.755,-23.755,0.0,0.911386,3.64238,-0.567262,20.4067,59.0,0.06,6195,3.18782,4.65568,-0.654832,-0.509595,0.0,115.201,37.0986,115.165
40.200_0.744,024047.91+004440.0,6169.0,40.199651,0.744461,40.19965,0.744461,0.0,1.1901,1.1901,-25.116,-25.116,9.071,0.877868,2.72057,-0.955575,19.2121,69.0,-0.191,5751,2.60604,4.40511,-1.06724,-0.911055,0.0,202.251,130.198,201.361
40.210_-0.519,024050.36-003109.0,6170.0,40.209843,-0.519187,40.209843,-0.519187,0.0,2.0435,2.0435,-25.275,-25.275,0.0,1.39702,3.23723,-0.804544,20.1779,65.0,0.216,6165,2.93153,4.60396,-0.934473,-0.718871,0.0,146.743,120.532,146.653
40.213_-1.089,024051.09-010518.7,6171.0,40.212905,-1.088551,40.212906,-1.088551,0.0,1.8336,1.8336,-25.394,-25.394,0.0,1.15667,2.95572,-0.957053,19.858,67.0,-0.06,6061,2.76628,4.54658,-1.08629,-0.88489,0.0,166.46,123.224,166.214
40.222_0.186,024053.32+001108.8,6174.0,40.222193,0.185796,40.222195,0.185796,0.008131941878121182,1.012,1.012,-23.499,-23.499,8.737,1.5755,2.51891,-0.432659,20.0417,71.0,0.228,5753,2.36958,4.20256,-0.543915,-0.388602,0.0,132.5,83.7348,131.106
40.231_0.200,024055.54+001201.2,6175.0,40.231457,0.200359,40.231457,0.200359,0.0,2.3686,2.3686,-25.384,-25.384,0.0,1.2493,3.14791,-0.763581,20.4883,69.0,0.093,5938,2.92362,4.57297,-0.883536,-0.67768,0.0,125.937,72.5478,125.683
40.235_0.487,024056.49+002912.3,6177.0,40.235402,0.486772,40.235401,0.486772,0.003073585126505738,2.1807,2.1807,-25.463,-25.463,0.0,0.862062,5.0,-0.8,19.7982,72.0,-0.055,5811,3.41997,4.71153,-0.867235,-0.718753,1.0,175.717,60.5424,175.72
40.246_0.763,024059.15+004545.8,6178.0,40.246484,0.762739,40.246483,0.762739,0.0,3.2292,3.2292,-26.336,-26.336,8.943,1.02688,3.32668,-0.870704,20.3401,66.0,-0.21,5982,3.06328,4.62148,-0.992877,-0.780059,0.0,140.707,90.755,140.585
