coord_key,SDSS,SDR5ID,ra_deg,dec_deg,ra_deg_r,dec_deg_r,sep_arcsec,z,z_r,iMag,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,mu,npts,D(g-i),order,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf
48.679_0.295,031443.06+001740.4,7391.0,48.679434,0.294568,48.679436,0.294568,0.007528715240946742,1.1587,1.1587,-24.041,-24.041,8.552,1.29047,3.60279,-0.86498,20.2931,67.0,-0.046,6451,3.119,4.64413,-0.961154,-0.792178,0.0,145.011,75.5576,144.988
48.686_-0.950,031444.54-005701.1,7392.0,48.685622,-0.950321,48.685623,-0.950321,0.0,1.5064,1.5064,-26.473,-26.473,9.255,1.14872,1.54547,-0.384613,18.3506,66.0,-0.158,6549,1.35678,1.73938,-0.475547,-0.3518,0.0,157.716,113.304,148.546
48.708_1.186,031449.85+011107.8,7393.0,48.707711,1.185512,48.70771,1.185512,0.0,1.7306,1.7306,-25.327,-25.327,0.0,0.946505,2.08636,-0.812726,19.9255,67.0,-0.033,6671,1.83997,2.80836,-0.984714,-0.735433,0.0,164.699,135.268,161.487
48.717_0.230,031452.06+001346.3,7395.0,48.716949,0.229544,48.716949,0.229544,0.0,3.2023,3.2023,-27.465,-27.465,0.0,0.937477,-2.7,1.5,19.141,69.0,0.41,6617,-2.40997,-0.606333,0.388846,1.29115,1.0,163.044,163.116,112.086
48.724_0.749,031453.67+004456.3,7396.0,48.723648,0.748992,48.723648,0.748992,0.0,1.3563,1.3563,-24.299,-24.299,8.841,1.39833,2.61599,-0.85076,20.2104,66.0,1.075,6660,2.47215,4.44263,-1.04805,-0.783154,0.0,138.897,106.593,138.288
48.741_0.841,031457.88+005028.8,7398.0,48.74119,0.841351,48.741192,0.841351,0.00434670577101264,0.4741,0.4741,-22.781,-22.781,8.129,1.34495,2.25344,-0.580342,19.4004,127.0,-0.193,6729,2.05494,3.39645,-0.697932,-0.540713,0.0,309.734,198.608,307.142
48.746_0.401,031459.08+002404.0,7399.0,48.746206,0.401138,48.746204,0.401138,0.0068727452774991205,1.9593,1.9593,-26.828,-26.828,9.427,1.03807,2.78701,-0.967292,18.7907,67.0,0.042,6809,2.68201,4.45885,-1.07259,-0.92468,0.0,203.375,117.292,202.657
48.755_-0.797,031501.19-004750.7,7400.0,48.754999,-0.797428,48.754997,-0.797428,0.005323605600495953,2.2546,2.2546,-26.886,-26.886,0.0,1.24951,3.41865,-0.950858,18.7084,74.0,0.549,6756,3.14282,4.63739,-1.0452,-0.896891,0.0,219.241,110.231,219.127
48.757_-0.291,031501.70-001727.8,7401.0,48.757122,-0.291064,48.757122,-0.291064,0.0,0.9441,0.9441,-23.836,-23.836,0.0,1.25842,1.07668,-0.178743,19.8226,62.0,-9.0,6593,0.405167,1.70065,-0.447512,0.076136,0.0,121.11,118.896,115.862
48.759_-0.764,031502.24-004550.6,7402.0,48.759352,-0.764059,48.759354,-0.764059,0.006147170253011476,2.1744,2.1744,-26.133,-26.133,9.675,1.76961,2.48866,-0.839995,19.4756,74.0,0.047,6785,2.28365,4.21767,-1.03098,-0.752753,0.0,177.069,137.775,175.844
48.769_0.210,031504.50+001237.4,7403.0,48.768772,0.2104,48.768772,0.2104,0.0,1.784,1.784,-27.219,-27.219,9.979,1.40349,2.74714,-1.18496,18.1832,131.0,0.04,6416,2.63113,4.48543,-1.3061,-1.14403,0.0,434.159,341.036,433.647
48.787_0.850,031508.83+005058.8,7404.0,48.786818,0.849671,48.786819,0.849671,0.0,1.4642,1.4642,-24.72,-24.72,8.39,1.06055,2.35379,-0.708113,20.109,72.0,0.038,6825,2.17438,3.9637,-0.845699,-0.658704,0.0,159.126,118.193,157.33
48.794_0.132,031510.54+000754.6,7405.0,48.793954,0.131838,48.793953,0.131838,0.00434670577101264,0.9656,0.9656,-24.74,-24.74,8.848,1.1888,2.67275,-0.871691,19.1854,72.0,-0.055,6478,2.52706,4.38599,-0.982161,-0.82421,0.0,194.511,155.159,193.647
48.796_0.904,031511.12+005414.8,7406.0,48.796337,0.904115,48.796337,0.904115,0.0,0.855,0.855,-23.397,-23.397,0.0,82.5899,-10.0,-10.0,20.0346,4.0,0.266,6452,-10.0,-10.0,-10.0,-10.0,0.0,145.011,-10.0,-10.0
48.840_1.135,031521.53+010804.6,7411.0,48.839711,1.134626,48.83971,1.134626,0.0,1.3274,1.3274,-24.313,-24.313,8.304,0.987095,2.29044,-0.531989,20.2713,58.0,0.218,6558,2.09435,3.49158,-0.667326,-0.478589,0.0,116.159,81.6456,113.658
48.861_-0.937,031526.71-005611.8,7414.0,48.861319,-0.936625,48.86132,-0.936625,0.0,1.3009,1.3009,-24.595,-24.595,8.364,1.28217,3.32284,-0.889025,19.9167,68.0,0.165,6533,3.01094,4.62146,-0.998836,-0.815793,0.0,159.289,97.5226,159.229
48.871_0.888,031528.99+005316.1,7418.0,48.870816,0.887819,48.870815,0.887819,0.0,0.9401,0.9401,-24.767,-24.767,8.935,1.35348,1.71554,-0.263953,19.1063,70.0,0.061,6745,1.52677,2.08892,-0.416481,-0.220127,0.0,137.047,99.6131,131.532
48.884_0.918,031532.27+005503.5,7419.0,48.884494,0.917661,48.884495,0.917661,0.0,0.4874,0.4874,-22.668,-22.668,7.651,1.00677,3.26257,-0.68426,19.3914,70.0,-0.163,6540,3.0379,4.60573,-0.77371,-0.639827,0.0,174.905,84.0051,174.726
48.906_-0.303,031537.34-001811.0,7420.0,48.9056,-0.303074,48.905602,-0.303074,0.007528715240946742,1.8068,1.8068,-25.439,-25.439,0.0,0.981872,3.41264,-0.959383,19.8257,67.0,0.029,6849,3.09408,4.63196,-1.06739,-0.876885,0.0,167.974,111.66,167.897
48.926_-0.322,031542.30-001919.2,7422.0,48.926265,-0.32202,48.926266,-0.32202,0.0,1.2501,1.2501,-24.226,-24.226,0.0,1.29593,1.69839,-0.345383,20.1933,68.0,-0.07,6566,1.44863,2.20161,-0.548527,-0.270839,0.0,128.085,108.117,123.418
48.927_-1.014,031542.46-010051.9,7423.0,48.926938,-1.014437,48.926937,-1.014437,0.0,1.233,1.233,-25.177,-25.177,8.632,1.26146,2.67641,-0.768484,19.1503,65.0,-0.054,6629,2.53203,4.40856,-0.890216,-0.722178,0.0,166.931,130.292,166.134
48.936_0.706,031544.54+004220.8,7425.0,48.935609,0.705801,48.935608,0.705801,0.0,1.8797,1.8797,-26.611,-26.611,9.405,0.956253,5.0,-1.15,18.817,69.0,-0.056,6616,3.64596,4.76625,-1.2172,-1.07947,1.0,220.452,136.521,220.464
48.938_-0.630,031545.06-003747.3,7426.0,48.937774,-0.629816,48.937775,-0.629816,0.0,1.1908,1.1908,-24.465,-24.465,8.924,1.47355,2.50053,-0.652801,19.9193,126.0,-0.178,6789,2.36797,4.26997,-0.797279,-0.609221,0.0,281.981,189.664,280.748
48.947_0.997,031547.38+005950.4,7429.0,48.947445,0.99735,48.947445,0.99735,0.0,1.3368,1.3368,-25.623,-25.623,9.33,1.28448,2.88247,-0.868957,18.8704,71.0,0.106,6613,2.77979,4.50306,-0.987521,-0.818125,0.0,196.303,113.917,195.724
48.951_0.476,031548.20+002834.6,7430.0,48.950842,0.476292,48.950844,0.476292,0.005323605600495953,1.5362,1.5362,-25.168,-25.168,8.75,1.31373,2.97954,-0.852098,19.7768,70.0,0.054,6494,2.81756,4.53443,-0.9704,-0.783135,0.0,160.836,130.179,160.453
48.960_-0.005,031550.48-000017.1,7431.0,48.960369,-0.004767,48.960369,-0.004767,0.003073585126505738,1.2158,1.2158,-23.575,-23.575,0.0,1.10745,3.4367,-0.571857,21.0951,105.0,0.016,6845,3.0319,4.619,-0.667651,-0.512154,0.0,182.11,86.75,182.011
48.961_0.910,031550.72+005434.7,7432.0,48.961335,0.909651,48.961334,0.909651,0.0,1.5777,1.5777,-25.223,-25.223,8.909,1.33067,5.0,-0.925,20.0312,70.0,-0.055,6429,3.41435,4.71944,-0.998744,-0.818045,1.0,161.916,130.324,161.929
48.962_0.768,031550.79+004604.8,7433.0,48.961631,0.768017,48.961632,0.768017,0.0,1.0252,1.0252,-24.736,-24.736,8.916,1.08627,5.0,-1.025,19.1077,67.0,0.416,6508,3.38552,4.71905,-1.09773,-0.941129,1.0,189.168,114.931,189.179
48.965_1.006,031551.54+010021.2,7434.0,48.964757,1.005914,48.964756,1.005914,0.0,1.9568,1.9568,-26.036,-26.036,8.8,1.14196,3.62461,-1.04387,19.6198,71.0,-0.017,6441,3.23888,4.65915,-1.14365,-0.974628,0.0,189.076,133.677,188.998
48.981_-0.181,031555.47-001051.5,7435.0,48.981136,-0.180974,48.981136,-0.180974,0.0,1.8444,1.8444,-25.017,-25.017,0.0,1.28399,2.83777,-0.684183,20.4311,62.0,0.026,6575,2.68791,4.54134,-0.868055,-0.61255,0.0,122.832,81.89,122.57
48.985_0.396,031556.30+002347.2,7436.0,48.984611,0.396465,48.984612,0.396465,0.003073585126505738,2.2049,2.2049,-25.467,-25.467,0.0,1.47452,1.52108,-0.438108,20.2798,68.0,0.53,6560,1.44627,3.53614,-1.03987,-0.437463,0.0,133.29,124.942,131.363
48.998_0.615,031559.51+003652.9,7437.0,48.997976,0.614718,48.997974,0.614718,0.00434670577101264,1.7325,1.7325,-24.914,-24.914,0.0,1.54,5.0,-1.25,20.2261,68.0,0.109,6772,3.53366,4.75235,-1.35852,-1.07665,1.0,135.833,127.647,135.849
49.000_0.902,031600.11+005407.2,7438.0,49.000475,0.902007,49.000477,0.902007,0.005323605600495953,0.9371,0.9371,-23.365,-23.365,0.0,1.44791,2.57317,-0.752047,20.3227,70.0,0.017,6401,2.38338,4.28146,-0.902283,-0.675484,0.0,138.383,94.3241,137.296
49.002_0.776,031600.56+004633.9,7439.0,49.002356,0.776109,49.002357,0.776109,0.0,1.235,1.235,-25.563,-25.563,8.861,2.90448,2.51847,-0.466855,18.9484,59.0,-0.06,6602,2.33312,4.22469,-0.591632,-0.421094,0.0,76.8407,63.2713,75.576
49.015_-0.709,031603.51-004234.0,7440.0,49.014637,-0.709446,49.014637,-0.709446,0.0,0.6854,0.6854,-23.373,-23.373,8.619,1.29796,1.84748,-0.427946,19.5431,67.0,0.306,6808,1.64541,2.42736,-0.610205,-0.382863,0.0,149.044,109.234,144.854
49.019_0.060,031604.61+000334.7,7441.0,49.01922,0.059643,49.019218,0.059643,0.008131941878121182,2.6319,2.6319,-26.834,-26.834,9.536,1.13815,3.24044,-1.0843,19.1987,71.0,0.074,6844,2.97286,4.59119,-1.18509,-1.0168,0.0,202.091,152.148,201.898
49.033_0.791,031607.85+004728.9,7442.0,49.032725,0.791384,49.032726,0.791384,0.0,1.641,1.641,-26.58,-26.58,9.354,1.19006,5.0,-1.05,18.7114,68.0,0.082,6513,3.93691,4.83179,-1.1147,-0.970468,1.0,199.673,73.7492,199.742
49.033_1.218,031607.89+011304.9,7443.0,49.032893,1.218053,49.032894,1.218053,0.0,0.5453,0.5453,-23.746,-23.746,8.907,1.14989,1.25556,-0.235793,18.7255,66.0,0.467,6637,1.0583,1.43714,-0.333846,-0.195685,0.0,141.806,118.6,129.341
49.035_0.802,031608.41+004807.1,7444.0,49.035071,0.801984,49.035072,0.801984,0.0,0.9388,0.9388,-23.942,-23.942,8.849,1.34989,5.0,-0.975,19.9611,68.0,-0.14,6702,3.49458,4.73946,-1.0498,-0.863812,1.0,164.629,113.981,164.648
49.041_0.679,031609.83+004043.1,7445.0,49.040993,0.678652,49.040993,0.678652,0.0,2.9199,2.9199,-27.955,-27.955,0.0,1.05049,3.06911,-1.2381,18.4728,68.0,0.226,6649,2.92365,4.56145,-1.33905,-1.18191,0.0,226.172,174.842,225.814
49.044_-1.057,031610.53-010326.5,7446.0,49.043876,-1.057375,49.043877,-1.057375,0.0,1.5133,1.5133,-24.694,-24.694,0.0,1.08471,5.0,-0.55,21.3659,47.0,-0.042,6753,3.5696,4.74165,-0.619627,-0.457523,1.0,59.9094,-2.64662,59.9132
49.047_0.069,031611.17+000407.4,7447.0,49.046549,0.068738,49.046551,0.068738,0.005323605600495953,1.5492,1.5492,-25.342,-25.342,8.388,1.2343,2.6703,-0.979761,19.6222,71.0,-0.044,6550,2.52221,4.35561,-1.09716,-0.921187,0.0,188.463,140.179,187.48
49.059_-0.848,031614.23-005054.2,7449.0,49.059323,-0.848394,49.059322,-0.848394,0.0,0.7105,0.7105,-22.963,-22.963,0.0,1.35199,3.24399,-0.870956,20.0547,66.0,0.389,6717,2.87764,4.58389,-0.984497,-0.77833,0.0,150.867,109.547,150.75
49.085_-0.850,031620.51-005059.0,7450.0,49.085475,-0.84975,49.085476,-0.84975,0.0,2.1059,2.1059,-25.809,-25.809,9.287,1.23203,1.87328,-0.419513,19.9365,67.0,-0.057,6779,1.70445,2.88984,-0.698006,-0.377337,0.0,135.887,104.356,132.516
49.101_-0.615,031624.15-003654.4,7451.0,49.100646,-0.615138,49.100647,-0.615138,0.0,1.7985,1.7985,-24.754,-24.754,0.0,1.32874,2.10714,-0.590355,20.3951,70.0,-0.125,6782,1.84296,3.82572,-0.873745,-0.511539,0.0,137.917,115.818,136.116
49.105_0.420,031625.15+002511.5,7452.0,49.104819,0.419873,49.10482,0.419873,0.0,1.0606,1.0606,-23.932,-23.932,0.0,1.04703,2.81114,-0.720434,20.2276,124.0,-0.099,6556,2.66081,4.49315,-0.82647,-0.677297,0.0,285.09,201.669,284.63
49.120_1.188,031628.80+011115.3,7453.0,49.12001,1.187607,49.12001,1.187607,0.0,1.7639,1.7639,-25.372,-25.372,0.0,1.22773,1.20352,-0.392046,19.9695,69.0,0.276,6780,0.96329,4.11137,-1.37856,-0.322589,0.0,148.108,146.505,146.665
49.128_-1.051,031630.78-010303.5,7454.0,49.128266,-1.050994,49.128265,-1.050994,0.0,0.3681,0.3681,-22.789,-22.789,7.522,1.1772,2.12496,-0.55083,18.5761,128.0,0.235,6522,1.93208,2.73544,-0.645074,-0.523582,0.0,348.259,247.995,344.76
49.136_-0.428,031632.74-002542.3,7455.0,49.136428,-0.428433,49.136429,-0.428433,0.00434670577101264,1.8831,1.8831,-25.119,-25.119,0.0,1.47234,2.43556,-0.810008,20.2985,66.0,-0.182,6504,2.25619,4.20106,-0.989385,-0.748105,0.0,139.023,114.567,137.67
49.137_0.755,031632.95+004517.5,7456.0,49.137315,0.754874,49.137314,0.754874,0.0,1.3982,1.3982,-24.458,-24.458,8.111,1.10287,2.58852,-0.759876,20.3622,65.0,0.042,6411,2.41248,4.3058,-0.924561,-0.685023,0.0,132.313,101.071,131.262
49.168_-0.165,031640.43-000955.3,7459.0,49.168477,-0.165377,49.168476,-0.165377,0.00434670577101264,0.637,0.637,-23.034,-23.034,0.0,1.44766,2.2331,-0.620925,19.6555,69.0,0.113,6450,1.9829,3.86949,-0.804976,-0.555075,0.0,151.27,126.354,149.471
49.190_-0.098,031645.55-000553.3,7460.0,49.189794,-0.098156,49.189793,-0.098156,0.00434670577101264,1.3884,1.3884,-25.553,-25.553,9.309,1.09764,5.0,-1.075,19.3227,69.0,0.358,6421,3.63126,4.76398,-1.14534,-1.00247,1.0,196.813,97.8182,196.825
49.191_-0.708,031645.77-004229.4,7461.0,49.190738,-0.708187,49.190739,-0.708187,0.0,1.2714,1.2714,-25.094,-25.094,8.532,1.27386,5.0,-1.025,19.2613,72.0,-0.006,6537,3.25244,4.68785,-1.12539,-0.923806,1.0,200.113,127.498,200.115
49.192_0.580,031646.19+003448.7,7462.0,49.192468,0.580203,49.192467,0.580203,0.0,1.4211,1.4211,-25.861,-25.861,9.18,1.12904,2.73805,-0.927607,18.9122,72.0,-0.061,6650,2.61173,4.42076,-1.03452,-0.882318,0.0,205.908,134.955,205.094
49.198_-0.261,031647.56-001539.7,7463.0,49.198202,-0.261031,49.1982,-0.261031,0.0068727452774991205,0.9046,0.9046,-23.684,-23.684,8.846,1.24725,1.52492,-0.407094,19.8602,68.0,-1.498,6732,1.22672,1.99288,-0.588249,-0.326366,0.0,145.063,134.725,139.674
49.208_-0.349,031649.95-002055.4,7465.0,49.208142,-0.348723,49.208141,-0.348723,0.00434670577101264,0.9571,0.9571,-23.968,-23.968,8.545,1.24269,3.25477,-0.826777,19.9278,71.0,0.07,6561,2.95812,4.59223,-0.927065,-0.761533,0.0,164.845,108.645,164.676
49.216_0.679,031651.78+004044.6,7467.0,49.215759,0.679082,49.215759,0.679082,0.0,1.7607,1.7607,-25.301,-25.301,0.0,0.819901,3.00785,-1.06744,19.8219,69.0,-0.062,6487,2.86285,4.54365,-1.18966,-0.998596,0.0,185.314,138.785,184.919
49.220_-0.116,031652.81-000658.1,7468.0,49.220063,-0.116164,49.220062,-0.116164,0.005323605600495953,0.9676,0.9676,-23.361,-23.361,0.0,1.46073,3.17473,-0.792637,20.4407,56.0,0.27,6407,2.90377,4.58654,-0.908071,-0.711301,0.0,112.392,69.9681,112.255
49.222_0.441,031653.31+002627.1,7469.0,49.22214,0.440872,49.222141,0.440872,0.003073585126505738,1.4311,1.4311,-24.597,-24.597,8.762,1.29357,2.77765,-0.924367,19.9682,70.0,0.405,6815,2.5929,4.44568,-1.05519,-0.850025,0.0,158.348,118.095,157.736
49.236_0.619,031656.63+003709.8,7470.0,49.235986,0.619413,49.235985,0.619413,0.0,1.898,1.898,-25.844,-25.844,9.113,1.22266,2.37234,-1.02555,19.6223,69.0,0.385,6806,2.14104,4.02001,-1.19981,-0.95054,0.0,178.177,167.822,176.628
49.251_-0.047,031700.26-000248.5,7472.0,49.251121,-0.04683,49.251122,-0.04683,0.00434670577101264,1.4937,1.4937,-25.532,-25.532,8.972,1.19175,2.17608,-0.733041,19.3059,69.0,-0.087,6440,1.94019,3.51007,-0.912455,-0.677248,0.0,181.272,140.242,178.893
49.253_0.371,031700.61+002214.7,7473.0,49.25257,0.370754,49.252571,0.370754,0.0,1.7786,1.7786,-25.969,-25.969,9.086,1.05176,3.16288,-0.922669,19.1855,69.0,0.124,6630,2.96251,4.59933,-1.03359,-0.86162,0.0,194.38,127.185,194.241
49.256_-0.830,031701.47-004949.7,7474.0,49.256159,-0.830481,49.256161,-0.830481,0.0,2.0125,2.0125,-26.142,-26.142,9.171,1.38677,2.65112,-0.87053,19.4482,73.0,0.142,6686,2.49839,4.32712,-0.994229,-0.806928,0.0,182.939,110.658,181.872
49.261_1.228,031702.73+011339.4,7475.0,49.261415,1.227623,49.261414,1.227623,0.0,2.2466,2.2466,-25.206,-25.206,0.0,0.932117,2.30997,-0.733905,20.6698,67.0,-0.003,6721,2.08988,4.01916,-0.903887,-0.661741,0.0,130.462,112.481,128.942
49.261_0.051,031702.75+000301.8,7476.0,49.261486,0.050509,49.261486,0.050509,0.0,2.014,2.014,-26.01,-26.01,8.568,1.09124,2.39893,-1.05682,19.4746,73.0,0.109,6586,2.20321,3.95888,-1.19956,-0.989845,0.0,205.938,166.881,204.145
49.271_-0.533,031705.02-003158.0,7479.0,49.270934,-0.532791,49.270935,-0.532791,0.003073585126505738,1.2695,1.2695,-25.546,-25.546,9.264,1.70915,3.07549,-0.995156,18.8816,68.0,0.103,6576,2.80252,4.56126,-1.12373,-0.909324,0.0,185.537,154.043,185.342
49.311_-0.613,031714.72-003645.7,7483.0,49.311356,-0.612717,49.311356,-0.612717,0.0,1.0062,1.0062,-23.502,-23.502,8.324,1.59981,5.0,-0.775,20.4041,34.0,-0.139,6541,3.60491,4.76888,-0.881645,-0.646746,1.0,55.6177,27.0335,55.6405
49.317_0.028,031716.13+000139.5,7486.0,49.317224,0.027647,49.317223,0.027647,0.00434670577101264,1.4997,1.4997,-25.713,-25.713,8.757,1.18784,2.62288,-0.975149,19.258,73.0,0.047,6603,2.46875,4.30895,-1.09993,-0.917934,0.0,201.041,149.982,199.924
49.327_1.077,031718.55+010437.3,7488.0,49.327331,1.077041,49.327332,1.077041,0.0,1.879,1.879,-25.457,-25.457,0.0,1.38734,5.0,-0.975,20.05,66.0,0.383,6434,3.30498,4.69704,-1.04939,-0.857557,1.0,143.481,100.202,143.493
49.338_-0.444,031721.02-002637.1,7490.0,49.337605,-0.443666,49.337605,-0.443666,0.0,0.4673,0.4673,-22.072,-22.072,7.749,1.20672,1.43008,-0.042779,20.045,49.0,0.161,6736,1.16756,1.70588,-0.164904,0.024319,0.0,72.2548,63.389,64.0618
49.344_-0.084,031722.58-000501.3,7491.0,49.344111,-0.083714,49.344112,-0.083714,0.003073585126505738,2.3237,2.3237,-25.145,-25.145,9.214,1.2181,3.04159,-0.711189,20.2963,68.0,-0.026,6792,2.89433,4.55356,-0.828032,-0.646679,0.0,142.313,77.0523,141.943
49.346_-0.577,031723.04-003435.6,7492.0,49.346041,-0.576581,49.346043,-0.576581,0.005323605600495953,0.945,0.945,-23.796,-23.796,0.0,1.02093,3.72361,-0.671355,20.4966,63.0,0.39,6590,3.23012,4.66027,-0.761834,-0.610842,0.0,135.631,50.8347,135.566
49.375_0.015,031730.04+000052.6,7496.0,49.37517,0.014636,49.375172,0.014636,0.007528715240946742,0.8919,0.8919,-23.124,-23.124,8.468,1.16882,3.29628,-0.482348,20.1536,66.0,0.099,6798,3.02614,4.61633,-0.576185,-0.4272,0.0,117.362,27.7009,117.263
49.383_0.170,031731.98+001010.4,7497.0,49.383277,0.169563,49.383278,0.169563,0.003073585126505738,1.9585,1.9585,-26.134,-26.134,9.339,1.0385,2.83689,-1.06462,19.2885,74.0,-0.036,6760,2.6881,4.47112,-1.18994,-1.00287,0.0,210.123,156.917,209.517
49.384_0.036,031732.20+000209.6,7498.0,49.384178,0.036025,49.384178,0.036025,0.003073585126505738,2.3244,2.3244,-26.982,-26.982,0.0,1.33275,5.0,-1.45,18.9524,74.0,1.953,6501,3.68113,4.77874,-1.53054,-1.33213,1.0,230.024,185.971,230.047
49.386_-0.920,031732.68-005513.4,7499.0,49.386176,-0.920409,49.386177,-0.920409,0.0,1.5591,1.5591,-24.116,-24.116,8.47,1.33508,2.87385,-0.596336,20.5688,63.0,0.002,6663,2.7065,4.50339,-0.736171,-0.524102,0.0,104.566,84.2252,104.095
49.400_-0.324,031735.94-001926.3,7500.0,49.399755,-0.323986,49.399754,-0.323986,0.0,1.224,1.224,-25.676,-25.676,8.875,1.42118,1.97718,-0.738258,18.7095,72.0,-0.053,6647,1.68927,2.45413,-0.883461,-0.658538,0.0,194.392,174.602,190.521
49.425_1.066,031742.07+010356.7,7501.0,49.425313,1.065757,49.425312,1.065757,0.0,1.3589,1.3589,-24.301,-24.301,0.0,1.19285,3.51252,-1.00183,20.3024,66.0,0.565,6516,2.95948,4.61543,-1.11929,-0.889198,0.0,141.308,99.073,141.271
49.437_-0.900,031744.76-005401.2,7502.0,49.436539,-0.900334,49.436539,-0.900334,0.0,1.5053,1.5053,-24.678,-24.678,0.0,1.48521,3.19027,-0.656442,20.4611,66.0,-0.103,6689,2.87514,4.59892,-0.780831,-0.571681,0.0,117.696,66.1351,117.642
49.471_-0.869,031753.08-005207.1,7504.0,49.471179,-0.86864,49.47118,-0.86864,0.0,1.3756,1.3756,-24.818,-24.818,8.4,1.18688,2.33757,-0.989188,19.8061,66.0,0.169,6464,1.95258,3.87226,-1.17172,-0.882517,0.0,169.091,158.877,167.451
49.487_-0.527,031756.91-003138.9,7506.0,49.487134,-0.527476,49.487133,-0.527476,0.0,1.7267,1.7267,-25.108,-25.108,0.0,1.37429,1.89272,-0.64559,19.9866,69.0,0.014,6786,1.63653,2.40805,-0.841951,-0.559156,0.0,156.621,127.235,152.605
49.497_-0.768,031759.16-004606.4,7507.0,49.496515,-0.768456,49.496513,-0.768456,0.00434670577101264,0.6465,0.6465,-22.986,-22.986,0.0,1.23159,1.44796,-0.405117,19.7324,12.0,0.166,6563,0.43089,1.93505,-0.58787,0.0843,0.0,22.0337,20.0918,18.2648
49.522_0.293,031805.30+001736.1,7508.0,49.5221,0.293386,49.522099,0.293386,0.00434670577101264,1.7773,1.7773,-25.217,-25.217,0.0,1.75458,3.16418,-1.04092,19.8679,69.0,0.224,6802,2.89431,4.57384,-1.19002,-0.931517,0.0,154.91,129.835,154.694
49.534_-0.422,031808.04-002519.8,7511.0,49.533516,-0.422179,49.533516,-0.422179,0.0,1.6536,1.6536,-25.238,-25.238,8.744,1.13034,2.39134,-0.471787,19.668,125.0,0.129,6509,2.24179,3.96413,-0.579742,-0.450691,0.0,299.238,157.001,297.304
49.538_0.842,031809.03+005032.0,7512.0,49.537649,0.842241,49.537647,0.842241,0.006147170253011476,1.1377,1.1377,-24.144,-24.144,0.0,1.42274,2.38193,-0.615662,20.0564,124.0,-0.025,6628,2.21671,3.88908,-0.727947,-0.57588,0.0,260.538,210.82,258.564
49.560_-0.946,031814.50-005647.1,7513.0,49.560418,-0.946443,49.560417,-0.946443,0.0,0.6951,0.6951,-22.483,-22.483,9.236,1.36961,2.60233,-0.497285,20.3181,49.0,0.428,6748,2.46491,4.33374,-0.634024,-0.443803,0.0,79.8236,40.9286,78.7956
49.573_1.127,031817.43+010735.9,7514.0,49.572636,1.126657,49.572636,1.126657,0.0,1.5784,1.5784,-24.972,-24.972,9.348,1.0001,5.0,-0.875,19.6909,69.0,0.078,6492,3.80964,4.80444,-0.946003,-0.79841,1.0,182.423,56.4094,182.456
49.574_-0.699,031817.75-004156.2,7515.0,49.573999,-0.698964,49.573997,-0.698964,0.006147170253011476,1.1005,1.1005,-24.003,-24.003,0.0,2.31894,3.33508,-0.857847,20.0118,71.0,0.195,6706,2.93183,4.6064,-0.983156,-0.735444,0.0,118.1,87.2992,118.038
49.587_-0.604,031820.77-003615.0,7516.0,49.586554,-0.604167,49.586555,-0.604167,0.0,1.3109,1.3109,-24.018,-24.018,8.212,1.63564,2.42233,-0.579736,20.4729,64.0,0.172,6594,2.18989,4.15283,-0.764925,-0.495847,0.0,113.349,84.3664,112.024
49.620_-0.256,031828.90-001523.1,7520.0,49.620445,-0.256431,49.620445,-0.256431,0.0,1.982,1.982,-27.439,-27.439,0.0,1.005,1.90036,-0.51395,18.0917,71.0,-0.001,6609,1.68972,2.32696,-0.615123,-0.481247,0.0,185.037,143.682,180.715
49.623_1.000,031829.60+005959.3,7521.0,49.62335,0.999812,49.623348,0.999812,0.005323605600495953,1.0605,1.0605,-25.174,-25.174,9.035,1.39609,4.41823,-1.01261,19.1122,71.0,0.046,6633,3.30888,4.68809,-1.08362,-0.937628,0.0,190.348,113.551,190.338
49.627_1.173,031830.59+011023.9,7522.0,49.627468,1.173315,49.627468,1.173315,0.0,0.5063,0.5063,-23.464,-23.464,9.059,1.22266,1.63377,-0.202356,18.4691,37.0,0.11,6491,1.41025,2.15325,-0.302829,-0.156811,0.0,72.2074,50.477,67.9325
49.652_0.490,031836.51+002925.0,7523.0,49.652152,0.490297,49.652153,0.490297,0.0,1.0633,1.0633,-23.693,-23.693,0.0,1.71023,5.0,-0.7,20.845,51.0,0.023,6406,3.40562,4.71601,-0.799568,-0.592583,1.0,75.9136,44.5332,75.9196
49.656_0.922,031837.46+005519.7,7524.0,49.656101,0.922159,49.656101,0.922159,0.0,0.711,0.711,-23.868,-23.868,8.311,1.40782,2.45868,-0.757325,18.96,72.0,0.266,6476,2.29859,4.09911,-0.891716,-0.708009,0.0,182.226,122.777,180.632
49.660_0.795,031838.28+004742.6,7526.0,49.65953,0.795171,49.659531,0.795171,0.0,1.2293,1.2293,-24.393,-24.393,8.288,1.33068,2.26972,-0.687304,19.9328,68.0,0.4,6672,2.17506,4.36655,-0.9913,-0.664325,0.0,150.965,126.098,149.99
