SDSS,ra_deg,dec_deg,z,iMag,D(g-i),order
001257.76+010603.1,3.240691,1.100874,1.0629,-25.501,0.099,206
001240.23+002433.6,3.167657,0.409358,2.6165,-27.41,0.032,207
001611.86-010518.4,4.049424,-1.088469,2.0862,-25.954,-0.105,208
000252.72-000331.0,0.719683,-0.058616,3.6829,-26.272,0.993,209
000645.41+000613.9,1.689234,0.103872,1.0308,-24.08,0.117,210
001217.08-005437.6,3.071199,-0.910472,3.603,-26.873,-0.005,211
000031.86+010305.2,0.13278,1.051468,1.0925,-24.394,0.284,212
001130.40+005751.8,2.876667,0.964393,1.4915,-24.598,-0.046,213
001939.10-011016.6,4.912918,-1.171284,1.2602,-24.903,0.071,214
001842.68+005042.1,4.677851,0.845037,1.9871,-25.999,0.12,215
000446.18-000313.6,1.192438,-0.053787,1.6027,-24.812,-0.014,216
000716.99-004056.4,1.820793,-0.682358,1.2596,-25.047,0.516,217
001334.80+003524.1,3.39501,0.590053,2.0754,-25.415,0.026,218
001026.50+001532.0,2.610454,0.258898,2.3998,-25.978,-0.04,219
000530.66+010233.3,1.377789,1.042592,0.6341,-23.409,-0.007,220
000457.90+002534.6,1.241286,0.426283,1.7023,-24.861,0.069,221
001130.88-000638.9,2.878704,-0.110813,1.2193,-24.132,0.143,222
000927.60+011055.7,2.365029,1.182139,1.6703,-26.089,-0.147,223
000042.89+005539.5,0.178746,0.92766,0.9512,-25.763,0.141,224
000303.32+001019.6,0.763851,0.172121,1.5221,-24.29,0.298,225
000355.49+000736.4,0.981211,0.126804,1.0274,-24.292,0.078,226
001912.39+000319.6,4.801654,0.055446,1.3718,-24.706,-0.221,227
000743.78-002432.4,1.932444,-0.409011,1.54,-26.895,-0.081,228
000754.23-010453.9,1.975967,-1.081639,0.9163,-24.019,0.283,229
001950.06-004040.8,4.958593,-0.678021,4.3275,-27.697,-0.403,230
000735.99-010056.5,1.899968,-1.015717,1.281,-24.606,0.293,231
001922.55-000915.0,4.843984,-0.154174,1.6971,-26.133,0.122,232
001310.63-002532.1,3.294309,-0.42559,1.5286,-24.757,0.183,233
001731.27-004859.3,4.380306,-0.816482,1.3565,-25.141,-0.044,234
001708.25-003844.4,4.284401,-0.645684,2.1011,-25.488,0.064,235
000613.84+001909.2,1.55767,0.319235,0.5523,-22.52,0.573,236
001212.67-000109.7,3.0528,-0.019368,1.6764,-25.867,-0.026,237
000202.33-002648.4,0.509743,-0.446803,2.2124,-25.564,0.229,238
000752.56+002110.2,1.969004,0.35285,1.2703,-25.796,0.051,239
000210.11-005730.9,0.542136,-0.958597,1.9629,-25.247,-0.177,240
000602.17-005358.1,1.509042,-0.899487,1.8554,-26.165,0.387,241
001103.18+005927.2,2.763265,0.990892,0.4863,-22.329,-0.032,242
001022.14-003701.1,2.592272,-0.616998,3.152,-28.192,0.035,243
001804.32+010031.4,4.518035,1.008723,1.344,-24.822,0.155,244
001140.24+005656.7,2.917703,0.949109,0.7134,-22.935,0.627,245
000632.30+000707.3,1.634621,0.118719,0.9171,-23.497,-0.361,246
001716.82-010725.5,4.32011,-1.123758,1.1631,-24.392,0.612,247
000135.51-004206.7,0.397978,-0.701886,3.5779,-27.364,-0.013,248
000710.01+005329.1,1.791724,0.89142,0.3162,-23.62,-0.114,249
001257.25+011527.3,3.238555,1.257597,0.5038,-23.515,-0.08,250
001043.84-001729.6,2.6827,-0.291569,1.296,-24.487,0.09,251
000118.40-010221.8,0.32667,-1.039395,1.9685,-25.95,0.201,252
000315.27+000221.1,0.813657,0.039197,1.5293,-25.019,0.078,253
000221.11+002149.3,0.587986,0.363712,3.057,-27.652,0.111,254
001420.18+011212.7,3.584101,1.203534,2.1738,-25.865,0.075,255
001816.53+004907.4,4.568877,0.818738,1.2029,-24.086,0.206,256
001632.10+011355.7,4.133753,1.232152,1.4927,-25.18,-0.011,257
000807.53+001619.0,2.031392,0.271952,1.478,-26.129,0.058,258
001616.72-004238.5,4.069673,-0.710715,0.7679,-23.086,0.415,259
000912.89+000504.4,2.303743,0.084568,1.7369,-27.794,0.056,260
000541.88-010411.0,1.424531,-1.069741,2.1178,-26.109,0.038,261
001559.58+004212.9,3.998282,0.703586,1.3358,-24.787,-0.133,262
000500.42-003348.2,1.251764,-0.563412,2.1733,-27.035,0.191,263
000046.15-003007.1,0.192318,-0.501993,1.4354,-25.16,-0.18,264
000330.19+000813.2,0.875796,0.137006,2.568,-27.114,0.078,265
000435.75-011318.6,1.148969,-1.221839,0.5074,-23.442,0.018,266
000608.04-010700.7,1.533512,-1.116862,0.9486,-24.437,0.071,267
001917.31+002735.4,4.822145,0.459838,2.4183,-25.908,-0.06,268
001535.54+005356.0,3.898095,0.898913,1.3587,-25.57,0.205,269
000846.69+001725.4,2.194558,0.290413,1.6863,-26.037,0.269,270
000829.77-000704.1,2.124077,-0.117824,1.6481,-26.084,-0.135,271
000500.84+010303.4,1.253511,1.050947,1.6292,-26.187,0.134,272
001247.12+001239.5,3.196334,0.210979,2.1528,-26.603,0.17,273
001756.90-004723.1,4.48711,-0.789755,1.8138,-25.269,1.531,274
001427.94+011333.1,3.616423,1.225887,2.1801,-24.934,-0.125,275
001805.91-011143.0,4.524635,-1.195299,2.0294,-25.639,-0.025,276
001824.95+001525.8,4.603987,0.257193,2.4295,-26.501,0.648,277
001636.71-010530.0,4.152959,-1.091693,1.5878,-24.83,0.233,278
001131.42+004718.3,2.880934,0.788429,1.8787,-25.639,0.239,279
001223.63-005645.6,3.098463,-0.946021,1.6072,-24.786,0.132,280
000804.22-003922.9,2.017611,-0.656376,1.608,-25.062,0.087,281
000030.37-002732.4,0.126576,-0.459005,1.803,-25.368,0.097,282
000505.45-000210.8,1.272717,-0.036345,1.8281,-25.408,0.129,283
000904.41-004332.8,2.26841,-0.725787,1.8286,-26.826,0.089,284
001346.65+004205.4,3.444402,0.701511,1.5492,-24.536,0.668,285
000738.53+005835.4,1.910562,0.976522,1.8458,-25.711,-0.034,286
001836.40-002933.0,4.651704,-0.492522,1.8525,-26.548,0.13,287
001420.44-003620.3,3.585171,-0.605665,0.9589,-23.459,-0.18,288
000208.83-001742.6,0.536801,-0.295183,0.6519,-24.049,0.118,289
000127.79-002756.0,0.365808,-0.465573,1.3368,-24.613,0.065,290
000659.28-001740.8,1.747041,-0.294691,2.0159,-26.004,-0.097,291
001217.78+003316.0,3.074112,0.554457,1.3072,-24.914,0.435,292
001759.16-010543.5,4.4965,-1.095431,1.5714,-25.601,-0.018,293
001434.13+002957.1,3.642231,0.499218,1.345,-24.306,0.304,294
001416.27-002357.7,3.5678,-0.39937,0.9808,-24.048,0.035,295
001715.91+003908.1,4.316313,0.652264,0.8147,-23.42,0.004,296
001017.80+010450.7,2.574172,1.080763,1.818,-26.798,0.472,297
000943.36+010459.8,2.430708,1.083279,0.4557,-22.711,0.167,298
000531.06+000951.0,1.379439,0.164168,0.9406,-24.796,0.275,299
000309.80-004238.2,0.790873,-0.710618,1.3966,-25.377,0.171,300
001018.56-005810.3,2.57737,-0.969552,0.6269,-23.719,0.08,301
001500.14+011519.1,3.750599,1.255313,0.5681,-22.594,0.24,302
001746.57+005644.0,4.444053,0.945562,1.8271,-25.121,-0.06,303
001047.46+001900.3,2.697765,0.316777,0.7481,-24.282,0.01,304
001257.21+003709.7,3.238387,0.619385,0.7615,-22.976,1.18,305
001656.99+005532.1,4.2375,0.925596,1.7561,-26.261,-0.025,306
001818.70+002709.2,4.577933,0.452568,3.3474,-27.261,1.05,307
001715.85-010959.5,4.316056,-1.166542,1.8995,-26.19,-9.0,308
000032.70-005512.9,0.136254,-0.920266,1.5247,-25.229,-0.12,309
000230.71+004959.0,0.627969,0.833065,1.3527,-26.539,0.419,310
001406.51-010759.7,3.527148,-1.133262,1.1557,-24.187,0.311,311
001641.17+010045.2,4.171557,1.012579,3.0384,-27.235,0.209,312
000458.61+005457.5,1.244214,0.915992,1.2084,-24.146,0.05,313
001352.02-001900.7,3.466754,-0.316881,1.1654,-24.288,0.461,314
000815.68+004516.1,2.065339,0.754484,1.0933,-24.37,0.088,315
000429.18+003547.9,1.121598,0.596654,1.3021,-24.238,0.324,316
000416.46-005300.6,1.06862,-0.883526,2.0201,-26.023,-0.053,317
001149.64-002726.9,2.95684,-0.457483,2.7067,-26.029,0.03,318
000500.54+010220.8,1.25225,1.039129,2.1189,-27.393,0.022,319
001734.78-001908.3,4.394923,-0.318985,2.1127,-26.462,0.059,320
001634.35-010622.7,4.143152,-1.10633,3.6447,-27.319,-0.021,321
001306.15+000431.9,3.275631,0.075532,2.1649,-27.117,0.009,322
001141.40-004722.6,2.922525,-0.789623,1.6483,-25.301,0.015,323
