SDR5ID,ra_deg,dec_deg,z,M_i,mbh_solar,chi2_pdf,log10_tau_d,log10_sigma_mag_sqrtyr,log10_tau_lim_lo,log10_tau_lim_hi,log10_sig_lim_lo,log10_sig_lim_hi,edge_flag,Plike,Pnoise,Pinf,mu,npts
345.0,2.508515,0.706831,1.2116,-25.368,8.955,1.20691,2.5354,-0.898756,2.39142,4.26452,-1.04389,-0.852485,0.0,173.433,117.973,172.184,18.8128,61.0
507.0,3.519195,-1.066088,0.9805,-25.616,8.921,1.01829,2.64811,-1.05795,2.50349,4.33336,-1.19088,-1.0009,0.0,163.661,129.676,162.602,18.2823,53.0
448.0,3.098195,0.633354,1.8583,-26.149,9.54,1.70997,3.28602,-0.760662,2.94046,4.60357,-0.874924,-0.682291,0.0,263.672,203.539,263.576,19.1422,105.0
191.0,1.371388,-0.833785,2.115,-25.615,9.468,1.42138,2.12438,-0.830601,1.73248,3.83094,-1.12859,-0.690699,0.0,139.064,132.601,137.467,20.0828,61.0
353.0,2.541802,0.857401,0.387,-22.786,8.147,16.4881,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,139.064,-10.0,-10.0,18.476,8.0
704.0,4.868466,-0.721304,1.7915,-25.371,0.0,1.00878,2.18544,-0.732408,1.99293,3.76851,-0.906762,-0.681521,0.0,136.03,101.538,133.985,19.7779,55.0
192.0,1.375595,-0.398947,1.0605,-23.861,0.0,1.23375,2.133,-0.433437,1.9906,4.3269,-0.715046,-0.394747,0.0,50.818,44.2062,49.9764,19.9702,28.0
569.0,3.954523,0.292229,3.0661,-26.747,8.937,1.39511,3.46608,-0.972021,2.98464,4.61806,-1.0923,-0.860333,0.0,158.116,126.692,158.063,19.6079,62.0
374.0,2.627306,1.001683,0.378,-24.018,0.0,1.36334,2.56853,-0.88857,2.43814,4.28008,-1.01332,-0.846555,0.0,164.376,110.462,163.129,17.4714,56.0
305.0,2.201872,-0.121595,1.5652,-24.731,0.0,1.22439,2.41737,-0.938992,2.16532,4.41016,-1.21923,-0.847277,0.0,141.315,134.001,140.928,20.2256,62.0
57.0,0.331015,-1.209549,2.2135,-25.973,8.946,1.26343,3.03046,-0.773648,2.86891,4.55784,-0.887016,-0.707195,0.0,129.857,78.6339,129.542,19.4717,55.0
119.0,0.861154,0.19922,1.8518,-26.205,10.008,1.06193,0.831335,0.119658,0.570831,0.986548,0.026126,0.189048,0.0,89.2672,83.3077,73.7101,18.9129,54.0
279.0,2.021588,-0.662987,1.9248,-25.137,0.0,1.41455,3.12519,-0.780943,2.90439,4.5746,-0.913772,-0.688775,0.0,117.548,78.5033,117.302,19.9173,54.0
118.0,0.844205,-0.494774,0.651,-23.139,0.0,1.53973,2.10459,-0.453169,1.90189,3.36447,-0.638801,-0.398333,0.0,122.47,83.4997,119.921,19.8202,63.0
35.0,0.22122,-0.620238,1.3201,-25.879,9.026,1.31831,3.19594,-0.988746,2.96699,4.59941,-1.08637,-0.935004,0.0,187.133,122.27,186.986,18.6492,64.0
553.0,3.843105,-0.680664,0.83,-22.617,0.0,1.05839,2.72748,-0.523005,2.50646,4.40179,-0.675198,-0.442175,0.0,76.1876,55.5726,75.4551,20.7591,45.0
163.0,1.200359,-0.389388,1.7257,-25.62,0.0,1.05826,2.8449,-0.894678,2.72512,4.47822,-1.01423,-0.833455,0.0,136.89,87.9591,136.253,19.4817,53.0
640.0,4.475696,1.189831,1.4649,-25.954,9.036,1.32442,3.60603,-0.978481,3.15757,4.64287,-1.08039,-0.9053,0.0,161.9,93.8438,161.805,18.9671,59.0
41.0,0.239919,1.116289,2.5538,-25.957,9.103,1.09441,5.0,-0.95,3.24324,4.68098,-1.06233,-0.848612,1.0,148.804,95.8367,148.812,19.8455,60.0
228.0,1.668659,0.785318,1.8475,-25.557,0.0,1.06266,2.65704,-0.818799,2.52846,4.36539,-0.959458,-0.760426,0.0,147.558,99.1372,146.568,19.7568,61.0
399.0,2.788218,-0.984289,1.6608,-24.884,0.0,0.938176,3.42625,-0.956197,3.09098,4.63314,-1.07406,-0.872586,0.0,154.375,91.0238,154.299,19.9373,61.0
606.0,4.240668,0.937446,1.8847,-26.732,9.316,1.36178,5.0,-1.15,3.0926,4.65485,-1.25953,-1.0047,1.0,153.733,111.04,153.732,18.6036,53.0
