dbID,z,iMag,npts,H,C
1325979,3.159,20.183,61,0.9501804722118065,3.5627573489502034
1326260,1.6633,19.353,68,0.9357579993241385,3.4637749818609835
1326430,1.9125,19.517,60,0.9218958463242416,3.8167618800375513
1326465,1.0926,20.044,64,0.9444924345055821,3.4327288942016336
1326544,1.5348,19.889,68,0.8972543001974118,3.6527081626897644
1327546,1.0631,19.614,122,0.8889378435278555,3.6526441001277656
1327664,0.6802,19.829,63,0.9157910288106867,3.5417119435282456
1328152,1.5878,18.241,64,0.8736028370915225,3.234686842613078
1328217,0.9498,18.554,66,0.8906911396596593,3.54509247402236
1329075,1.9035,19.669,68,0.8967450570600779,3.715685889632691
1329214,0.7685,19.075,66,0.9209727267907832,3.416180020421547
1329319,2.7211,20.434,60,0.8874349713647213,3.9555532211298257
1329339,1.2323,19.617,63,0.9233572053032916,3.5417119435282456
1329550,1.2443,17.671,70,0.8980659593554122,3.1401921354277875
1329685,1.0868,20.038,69,0.9043087954929245,3.6114437833329567
1330340,3.2456,20.114,60,0.9431264259006739,4.0249488916759635
1330453,1.0208,20.67,56,0.9404882871520904,3.5130342028234036
1330543,1.6788,20.017,61,0.9328354632451781,3.425728220144426
1330612,2.0235,19.055,64,0.8992982182520283,3.3667148770054482
1330713,0.9057,19.726,64,0.8943604850732528,3.8948270145749304
1330836,2.2947,19.75,67,0.9165712373188132,3.6950329079496367
1331112,1.4613,19.404,69,0.924455233491682,3.424644966953666
1331131,1.3592,19.841,66,0.9416083475402832,3.480636247221953
1331552,3.2807,18.614,62,0.9378744791492952,3.45055497766065
1331742,2.0428,19.982,61,0.9329142948507265,3.5627573489502034
1332132,1.564,19.94,61,0.9281115532015971,3.494242784547315
1332516,1.3841,19.895,70,0.9200636651994634,3.879060873175502
1332555,1.2757,19.43,70,0.9131153060365609,3.694343688738573
1332577,2.0277,19.876,62,0.9208751628615357,3.7888446813528707
1333444,0.9847,18.424,64,0.9278684081685178,3.4327288942016336
1334021,1.5048,19.438,70,0.9166551992318034,3.3864817146770254
1334280,0.8492,19.857,61,0.9157817260911166,3.425728220144426
1334669,1.1293,19.441,84,0.8862096766314378,3.3097667654010294
1334860,0.7801,19.965,56,0.9174759097990683,3.5130342028234036
1335263,2.1394,18.74,62,0.9386689568418006,3.315239096183762
1336320,0.4605,19.864,66,0.9988356983763262,0.5801060412036588
1336333,1.0359,19.506,69,0.9194817177819617,3.5491775112065262
1336445,1.3084,19.946,68,0.9188267038459947,3.715685889632691
1336543,2.2519,19.519,70,0.9028488334166325,3.3864817146770254
1336656,0.4512,19.698,23,0.9371100940221927,3.2780166802895656
1337104,1.1291,20.682,68,0.9001613534373053,3.5267527088039103
1337502,0.7212,17.397,70,0.925279052642669,3.0786197406154776
1337856,3.1998,19.957,69,0.9557663095391306,3.4869112390800963
1337949,0.8272,19.634,61,0.9076071174941797,3.6312719133530917
1337980,0.8728,19.342,67,0.9266719837467979,3.5039105161591384
1338319,1.2903,19.942,131,0.8842574190394649,3.8626563406901426
1339098,3.275,19.795,64,0.9439649889767072,3.76279898018256
1339813,2.3221,18.985,69,0.9302372508516662,3.4869112390800963
1340556,1.0399,19.78,62,0.9253628453680373,3.6535287998759824
1340569,0.5892,17.834,69,0.9060243948500512,3.3623786948272354
1340669,1.6354,19.76,61,0.9229009215363935,3.425728220144426
1340680,0.3342,16.582,77,0.8979700718075059,3.257854066390263
1340738,1.5157,19.251,58,0.8932147929292416,3.4905562722241146
1342320,2.1617,17.843,69,0.9094690533252813,3.3623786948272354
1343304,3.168,20.512,68,0.9026774789475066,3.5267527088039103
1343422,3.7032,18.445,70,0.9277948156669993,3.324909319864716
1344047,2.01,17.55,64,0.8918699657558526,3.5647569285940044
1345890,0.7297,20.016,68,0.9222448442774771,3.4007972549180563
1346500,2.4723,19.406,49,0.9495104328965279,3.4864223503907694
1346593,2.001,19.624,63,0.9023704954035783,3.7421862044826746
1347186,2.3853,20.043,68,0.8603649985358844,3.7786636165756184
1347284,2.2696,19.866,65,0.9044297229358683,3.587364060066563
1347569,1.407,18.651,66,0.9468649931445746,3.6095487008227662
1348053,2.1286,20.157,69,0.9003850569068869,3.7982425997122475
1348102,1.0937,20.034,60,0.8994665299084297,3.33099218621459
1348184,2.061,19.948,63,0.9408924871003542,3.0739386679679113
1348355,1.3872,19.813,58,0.9038161422502874,3.4905562722241146
1348545,1.1982,19.254,64,0.9194230607934021,3.498742911397819
1348569,1.2676,20.193,60,0.9215847189022156,3.539179197853002
1348929,1.4117,20.004,126,0.8832666353370285,3.6755742492831236
1349072,2.3064,19.258,68,0.9266868053272909,3.4637749818609835
1349091,1.0833,18.922,60,0.9426386860685945,3.1922008451223154
1349806,1.6208,19.659,63,0.8705738445954875,3.608536697179722
1350913,2.5175,19.638,66,0.921685527873797,3.480636247221953
1352233,2.4051,20.272,68,0.9335600663534954,3.5267527088039103
1352443,0.9304,18.432,67,0.8814225763028212,3.5039105161591384
1352777,1.7247,20.016,64,0.9118815587143727,3.76279898018256
1353200,1.0142,20.417,57,0.9062404892740645,3.393275171218283
1353865,1.6594,17.56,63,0.926668327085809,3.1407634216193876
1354098,0.6394,19.571,59,0.9316024678295797,3.726025595293158
1354223,1.8789,20.359,57,0.9505575072180807,3.6098672034237054
1354743,1.663,20.162,67,0.9378961096853782,3.5039105161591384
1355243,1.3896,19.876,62,0.903455269339616,3.5182129183990942
1355301,1.3341,19.903,68,0.9104480949265848,3.6527081626897644
1355693,2.7947,18.403,67,0.9185687531750535,3.440203052228972
1355861,0.8588,19.97,66,0.9273860394740568,3.416180020421547
1357075,2.1118,19.846,69,0.905045649036569,3.5491775112065262
1357826,1.6075,20.355,64,0.9011359038582694,3.498742911397819
1357944,0.3385,19.018,63,0.9987543807349171,0.601422782863287
1357992,0.8035,19.377,64,0.9408749188357282,3.76279898018256
1358031,1.9755,20.238,62,0.9147743017569059,3.7888446813528707
1358530,0.923,21.08,68,0.9175640995895847,3.2118640740892754
1359734,1.001,18.731,62,0.9200311488424964,3.5858708591375383
1359864,1.2902,20.607,68,0.8971280270951288,3.589730435746837
1360477,0.8863,20.547,58,0.9291271001421167,3.3480845876435383
1360484,0.3352,18.925,50,0.914933266919347,3.273325371888857
1360621,1.5215,19.468,61,0.944961551993913,3.494242784547315
1360766,3.267,20.007,62,0.9515062047461964,3.6535287998759824
1360785,1.0083,18.667,70,0.9154199580373028,3.5711988991139543
1360824,1.0562,19.617,66,0.8684422094852596,3.35172379362114
1361524,0.7917,19.792,53,0.9280142204513322,3.1304224703007115
1361974,1.879,19.916,51,0.9161297172813953,3.7745526074153526
1362530,1.3443,18.862,55,0.9064757057500605,3.562073942428863
1362723,2.3758,19.706,53,0.8976255244918073,3.5121813081422615
1363292,2.3352,20.28,55,0.9339479672451428,3.562073942428863
1363394,0.9026,20.297,54,0.9227486288517991,3.7631924967587493
1364210,1.6585,20.029,54,0.9389934641879029,3.4621370970180494
1364779,1.5096,19.985,52,0.920786987152297,3.408916149364369
1364850,0.9883,20.022,80,0.911859533080196,3.660933644157926
1365233,1.2144,20.506,50,0.9040283872743483,3.6725113928509123
1365809,2.519,21.55,106,0.9070185479810409,3.597510158315023
1366592,2.9033,19.407,56,0.9255192644559035,3.293469565146941
1366939,1.438,19.977,54,0.9182926865253297,3.6879286468235746
1369088,1.2689,20.398,43,0.9137856648524074,3.671647731986573
1369732,1.0576,19.647,52,0.9109123928342819,3.641342250457394
1369808,2.9114,18.594,54,0.9489025583366606,3.6879286468235746
1370203,1.0907,19.633,108,0.9376424772928129,3.45690062563377
1370767,1.9398,20.032,55,0.9395527715528018,3.487864068628262
1370819,0.8549,19.232,54,0.9332815783096917,3.3116093971476994
1372416,1.582,19.514,63,0.9399556939705086,3.7421862044826746
1372639,2.0611,19.462,57,0.9479245031779773,3.2488804830813347
1373125,2.9176,18.954,53,0.9316119512979,3.4358295405739514
1373548,1.5496,18.813,49,0.9427958845518901,3.324263171302827
1373566,0.3318,18.903,55,0.9199373853211699,3.413654194827661
1374342,1.4626,20.658,52,0.9206537131290204,3.408916149364369
1374837,1.7929,20.029,57,0.9313093165222106,3.537669859355231
1375148,1.2482,18.604,56,0.8849319566030353,3.073904927470478
1375550,0.9511,20.147,53,0.9084489417094603,3.3594777730056413
1375615,1.0465,19.597,53,0.9205152641990114,3.6648848432788816
1376099,1.1946,20.007,49,0.9490506358588838,3.4864223503907694
1376188,2.0677,20.403,40,0.9603471191975116,3.4997061487747603
1376726,0.7536,20.154,11,0.9499948072544054,2.637684800078208
1377192,2.6756,20.27,54,0.931060890114002,3.4621370970180494
1377246,1.6812,19.958,53,0.909808854915768,3.2831260054373317
1377821,1.9553,19.03,58,0.9161826956672693,3.7754996413852666
1378415,2.305,20.053,54,0.9304052465774497,3.4621370970180494
1378803,1.6348,19.348,55,0.9286604610712171,3.710493690030066
1379531,1.5154,19.503,55,0.9227664916257767,3.413654194827661
1380486,2.0614,20.39,54,0.9296079002168863,3.6126647968883994
1380875,2.8567,18.733,58,0.9191562911596833,3.7754996413852666
1381084,1.1373,20.09,55,0.9253631778756735,3.413654194827661
1383337,2.5687,19.46,55,0.9273685851493674,3.6362838162294646
1383466,1.7427,0.0,51,0.9690706161279083,2.6736414302525415
1384953,3.7685,19.452,56,0.9437802987566386,3.5862224153822244
1385230,1.2012,19.919,58,0.9245430935366606,3.5617921145144025
1385535,2.6173,20.547,51,0.8943816738480674,3.6959160947608662
1386958,0.5997,19.122,106,0.8827585213595743,3.3754416300239725
1387114,1.5565,20.09,39,0.8860055565434003,3.6635616461296467
1387164,0.7228,18.112,55,0.9271458403000505,3.487864068628262
1388843,1.5519,19.682,56,0.9338324994626508,3.5862224153822244
1390115,1.5097,20.247,50,0.9470200637603796,3.5926741886585014
1390263,1.228,19.804,52,0.9132939533584004,3.4863915163953774
1390329,1.413,19.158,56,0.9374044945431258,3.293469565146941
1390635,0.4519,19.53,54,0.9393764200204128,3.3116093971476994
1390934,0.6017,19.17,49,0.9326079087542294,3.5675019399347407
1391545,2.0173,20.044,53,0.9296620152758898,3.893940145983812
1391962,2.2761,20.408,54,0.9477731966551151,3.6126647968883994
1393559,1.6707,19.755,53,0.8952708936181389,3.2067742378690216
1393824,1.7729,18.971,21,0.9396629519438149,3.1967485596095946
1394828,1.9038,19.369,57,0.9029352549079854,3.393275171218283
1395547,1.0726,18.919,54,0.9323710709722203,3.3116093971476994
1395761,0.4744,19.535,56,0.9245305292550086,3.293469565146941
1396264,1.9715,19.491,56,0.9456257708141311,3.439845990264583
